parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated,source_selector,extracted_value,last_verified_commit,verified_at,evidence_hash,semantic_status,semantic_review_task_ids
PARAM-001,MOD-001,FORM-001,dynamic_centerline_scale,dynamic centerline scale,formula_constant,float,mm,5,NOT_APPLICABLE - no separate prior evidenced,5,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:74,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:74:7,5,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:6e9bb5083544788f404857031151da329dcfc6e1ddfea5d0f659271b42d8e984,MACHINE_VERIFIED,
PARAM-002,MOD-001,FORM-001,dynamic_centerline_weight,dynamic centerline weight,formula_constant,float,points,35,NOT_APPLICABLE - no separate prior evidenced,35,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:74,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:74:4,35,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:3c098b9ef5c536965c419a7b3ee8bfce9b075e4e42491e246bf031c42be02091,MACHINE_VERIFIED,
PARAM-003,MOD-001,FORM-001,dynamic_ovality_scale,dynamic ovality scale,formula_constant,float,ratio,0.04,NOT_APPLICABLE - no separate prior evidenced,0.04,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:74,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:74:8,0.04,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:58e3f0dc3e61cbf0ac26663f81bc7a28b454ecad7c86ab5ae9238cb47dc1a789,MACHINE_VERIFIED,
PARAM-004,MOD-001,FORM-001,dynamic_ovality_weight,dynamic ovality weight,formula_constant,float,points,25,NOT_APPLICABLE - no separate prior evidenced,25,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:74,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:74:5,25,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:ec8c7bc4f9351b98186e95d53f77f8714982e53df03bda1497dfad11761dc141,MACHINE_VERIFIED,
PARAM-005,MOD-001,FORM-001,dynamic_temperature_scale,dynamic temperature scale,formula_constant,float,C,520,NOT_APPLICABLE - no separate prior evidenced,520,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:74,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:74:6,520,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:88d8a8c18deea47efd625dcc362470986e736c84b4e497aa996a5402723d8497,MACHINE_VERIFIED,
PARAM-006,MOD-001,FORM-001,dynamic_temperature_weight,dynamic temperature weight,formula_constant,float,points,25,NOT_APPLICABLE - no separate prior evidenced,25,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:74,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:74:2,25,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:b10b6fdbee363db3e03035d339ce2c752d6e4fec3988cde5046a1d5b8b1b56eb,MACHINE_VERIFIED,
PARAM-007,MOD-001,FORM-001,dynamic_runout_scale,dynamic runout scale,formula_constant,float,mm,3,NOT_APPLICABLE - no separate prior evidenced,3,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:74,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:74:3,3,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:4fc3df6f13ec4b71d2ac1800a5ef73ae79f17ec6f83b49e63306f1dd24c41866,MACHINE_VERIFIED,
PARAM-008,MOD-001,FORM-001,dynamic_runout_weight,dynamic runout weight,formula_constant,float,points,15,NOT_APPLICABLE - no separate prior evidenced,15,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:74,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:74:1,15,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:7d140b03da85b80f5999ddbe2aa6ef8b1d6023376a619170933e47b880f66d81,MACHINE_VERIFIED,
PARAM-009,MOD-001,FORM-001,dynamic_centerline_threshold,dynamic centerline threshold,formula_constant,float,mm,3,NOT_APPLICABLE - no separate prior evidenced,3,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:77,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:77:1,3,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:20945440969a8318cf514d0ab4bbbb4438587dbc7940597529d12322359777d1,MACHINE_VERIFIED,
PARAM-010,MOD-001,FORM-001,dynamic_ovality_threshold,dynamic ovality threshold,formula_constant,float,ratio,0.02,NOT_APPLICABLE - no separate prior evidenced,0.02,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:79,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:79:1,0.02,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:aff92b6c7b8cd00487f30b1910810fead70bf4d4dcdcb20d9777e54fdf9e3ede,MACHINE_VERIFIED,
PARAM-011,MOD-001,FORM-001,dynamic_temperature_threshold,dynamic temperature threshold,formula_constant,float,C,400,NOT_APPLICABLE - no separate prior evidenced,400,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:81,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:81:1,400,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:8a93db48c38a50c414ab4466ee6390d01cd14bc41241052ff4efe44c67f1e725,MACHINE_VERIFIED,
PARAM-012,MOD-001,FORM-001,dynamic_eccentricity_threshold,dynamic eccentricity threshold,formula_constant,float,ratio,0.015,NOT_APPLICABLE - no separate prior evidenced,0.015,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:83,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:83:1,0.015,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:319186c9dea8492a97f8b2a1b6d7062240bc41d970e6a939b42bdcedb34cdb3a,MACHINE_VERIFIED,
PARAM-013,MOD-002,FORM-002,fault_vibration_threshold,fault vibration threshold,formula_constant,float,mm/s or input unit,2.0,NOT_APPLICABLE - no separate prior evidenced,2.0,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:143,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:143:5,2,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:94e9090c156ea5f566964e213d109ec5ca142627dd4a51bbb2eedb0cd0ad987c,MACHINE_VERIFIED,
PARAM-014,MOD-002,FORM-002,fault_temperature_threshold,fault temperature threshold,formula_constant,float,C,450,NOT_APPLICABLE - no separate prior evidenced,450,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:144,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:144:4,450,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:7478bc2f09f6185b657932b2e34768f42370b07d45ce7fcde90112a47c527913,MACHINE_VERIFIED,
PARAM-015,MOD-002,FORM-002,fault_speed_min,fault speed min,formula_constant,float,rpm or input unit,1.0,NOT_APPLICABLE - no separate prior evidenced,1.0,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:145,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:145:4,1,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:07eea53b20cb5f3d786d3301f011644f8711b8feb6f880e55ed6967256918082,MACHINE_VERIFIED,
PARAM-016,MOD-002,FORM-002,fault_speed_max,fault speed max,formula_constant,float,rpm or input unit,4.5,NOT_APPLICABLE - no separate prior evidenced,4.5,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:145,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:145:5,4.5,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:a6ff68ad58d365bb5682beb57abefd47139f1c84fcf792c471374e1b4ae45d19,MACHINE_VERIFIED,
PARAM-017,MOD-002,FORM-002,fault_vibration_scale,fault vibration scale,formula_constant,float,input unit,4,NOT_APPLICABLE - no separate prior evidenced,4,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:165,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:165:5,4,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:98a482d439f870910e66c27f7f4b5e40fdaae2045e7dc5aa3f25164278e87570,MACHINE_VERIFIED,
PARAM-018,MOD-002,FORM-002,fault_vibration_weight,fault vibration weight,formula_constant,float,points,35,NOT_APPLICABLE - no separate prior evidenced,35,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:165,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:165:4,35,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:02c49c01a6431e3c33494f907e99e18238e38812a3909ce60a1f3ea51158f13b,MACHINE_VERIFIED,
PARAM-019,MOD-002,FORM-002,fault_temperature_scale,fault temperature scale,formula_constant,float,C,550,NOT_APPLICABLE - no separate prior evidenced,550,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,KM_IDSystem/backend/app/services/analysis.py:165,NOT_APPLICABLE,KM_IDSystem/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:KM_IDSystem/backend/app/services/analysis.py:165:6,550,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:cca9b7e8865d9e9b35b0b91577d961fc2799f26667d4dd71d5139908010f6554,MACHINE_VERIFIED,
