stage,local_code,title,version,domain_code,domain,entrance,acceptance_id,parallel,parallel_note,estimated_hours,file
STAGE-001,D01-S001,IDS 产品命名合同,v0.1,D01,一次性仓库治理与产品命名,IDS 系统运营入口,ACC-STAGE-001,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-001_IDS产品命名合同.md
STAGE-002,D01-S002,新建 ProductMetaDatabase,v0.1,D01,一次性仓库治理与产品命名,IDS 系统运营入口,ACC-STAGE-002,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,6-14 小时,stages/STAGE-002_新建ProductMetaDatabase.md
STAGE-003,D01-S003,MetaDatabase 更名为 FinanceMetaDatabase,v0.1,D01,一次性仓库治理与产品命名,IDS 系统运营入口,ACC-STAGE-003,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,6-14 小时,stages/STAGE-003_MetaDatabase更名为FinanceMetaDatabase.md
STAGE-004,D01-S004,旧名称引用扫描,v0.1,D01,一次性仓库治理与产品命名,IDS 系统运营入口,ACC-STAGE-004,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-004_旧名称引用扫描.md
STAGE-005,D01-S005,仓库治理回归验证,v0.1,D01,一次性仓库治理与产品命名,IDS 系统运营入口,ACC-STAGE-005,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-005_仓库治理回归验证.md
STAGE-006,D02-S001,macOS M2 Max Docker 基线,v0.1,D02,本地运行环境与存储根目录,IDS 系统运营入口,ACC-STAGE-006,是,可与 STAGE-001~005 的仓库治理并行；至少在 STAGE-030 前完成。,4-12 小时,stages/STAGE-006_macOSM2MaxDocker基线.md
STAGE-007,D02-S002,IDS_DATA_ROOT 检测,v0.1,D02,本地运行环境与存储根目录,IDS 系统运营入口,ACC-STAGE-007,是,可与 STAGE-001~005 的仓库治理并行；至少在 STAGE-030 前完成。,4-12 小时,stages/STAGE-007_IDS_DATA_ROOT检测.md
STAGE-008,D02-S003,可拔插移动硬盘状态机,v0.1,D02,本地运行环境与存储根目录,IDS 系统运营入口,ACC-STAGE-008,是,可与 STAGE-001~005 的仓库治理并行；至少在 STAGE-030 前完成。,4-12 小时,stages/STAGE-008_可拔插移动硬盘状态机.md
STAGE-009,D02-S004,存储预算基线,v0.1,D02,本地运行环境与存储根目录,IDS 系统运营入口,ACC-STAGE-009,是,可与 STAGE-001~005 的仓库治理并行；至少在 STAGE-030 前完成。,4-12 小时,stages/STAGE-009_存储预算基线.md
STAGE-010,D02-S005,本地路径合同,v0.1,D02,本地运行环境与存储根目录,IDS 系统运营入口,ACC-STAGE-010,是,可与 STAGE-001~005 的仓库治理并行；至少在 STAGE-030 前完成。,6-14 小时,stages/STAGE-010_本地路径合同.md
STAGE-011,D02-S006,安全模式基线,v0.1,D02,本地运行环境与存储根目录,IDS 系统运营入口,ACC-STAGE-011,是,可与 STAGE-001~005 的仓库治理并行；至少在 STAGE-030 前完成。,6-14 小时,stages/STAGE-011_安全模式基线.md
STAGE-012,D03-S001,原始资料只读合同,v0.1,D03,原始资料保护与文件身份,IDS 系统运营入口,ACC-STAGE-012,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-012_原始资料只读合同.md
STAGE-013,D03-S002,文件指纹引擎,v0.1,D03,原始资料保护与文件身份,IDS 系统运营入口,ACC-STAGE-013,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-013_文件指纹引擎.md
STAGE-014,D03-S003,Manifest 生成,v0.1,D03,原始资料保护与文件身份,IDS 系统运营入口,ACC-STAGE-014,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-014_Manifest生成.md
STAGE-015,D03-S004,重复文件检测,v0.1,D03,原始资料保护与文件身份,IDS 系统运营入口,ACC-STAGE-015,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-015_重复文件检测.md
STAGE-016,D03-S005,导入幂等键,v0.1,D03,原始资料保护与文件身份,IDS 系统运营入口,ACC-STAGE-016,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,6-14 小时,stages/STAGE-016_导入幂等键.md
STAGE-017,D03-S006,原始资料回归测试,v0.1,D03,原始资料保护与文件身份,IDS 系统运营入口,ACC-STAGE-017,是,可与 STAGE-024 的压缩包威胁模型、STAGE-152 的黄金测试集准备并行；至少在 STAGE-037 前完成。,6-14 小时,stages/STAGE-017_原始资料回归测试.md
STAGE-018,D04-S001,导入预检扫描器,v0.1,D04,导入预检与数据优先级,人类产品入口 + IDS 系统运营入口,ACC-STAGE-018,是,可与 STAGE-024 的压缩包威胁模型、STAGE-152 的黄金测试集准备并行；至少在 STAGE-037 前完成。,4-12 小时,stages/STAGE-018_导入预检扫描器.md
STAGE-019,D04-S002,导入风险估算器,v0.1,D04,导入预检与数据优先级,人类产品入口 + IDS 系统运营入口,ACC-STAGE-019,是,可与 STAGE-024 的压缩包威胁模型、STAGE-152 的黄金测试集准备并行；至少在 STAGE-037 前完成。,4-12 小时,stages/STAGE-019_导入风险估算器.md
STAGE-020,D04-S003,导入成本估算器,v0.1,D04,导入预检与数据优先级,人类产品入口 + IDS 系统运营入口,ACC-STAGE-020,是,可与 STAGE-024 的压缩包威胁模型、STAGE-152 的黄金测试集准备并行；至少在 STAGE-037 前完成。,4-12 小时,stages/STAGE-020_导入成本估算器.md
STAGE-021,D04-S004,预检确认 UI,v0.1,D04,导入预检与数据优先级,人类产品入口 + IDS 系统运营入口,ACC-STAGE-021,是,可与 STAGE-024 的压缩包威胁模型、STAGE-152 的黄金测试集准备并行；至少在 STAGE-037 前完成。,4-12 小时,stages/STAGE-021_预检确认UI.md
STAGE-022,D04-S005,数据优先级队列,v0.1,D04,导入预检与数据优先级,人类产品入口 + IDS 系统运营入口,ACC-STAGE-022,是,可与 STAGE-024 的压缩包威胁模型、STAGE-152 的黄金测试集准备并行；至少在 STAGE-037 前完成。,4-12 小时,stages/STAGE-022_数据优先级队列.md
STAGE-023,D04-S006,预检场景测试,v0.1,D04,导入预检与数据优先级,人类产品入口 + IDS 系统运营入口,ACC-STAGE-023,是,可与 STAGE-024 的压缩包威胁模型、STAGE-152 的黄金测试集准备并行；至少在 STAGE-037 前完成。,6-14 小时,stages/STAGE-023_预检场景测试.md
STAGE-024,D05-S001,压缩包威胁模型,v0.1,D05,自动解压与压缩包安全,IDS 系统运营入口,ACC-STAGE-024,是,除安全解压引擎外，可与 STAGE-018~023 的导入预检工作并行；至少在 STAGE-045 前完成。,4-8 小时,stages/STAGE-024_压缩包威胁模型.md
STAGE-025,D05-S002,安全解压引擎,v0.1,D05,自动解压与压缩包安全,IDS 系统运营入口,ACC-STAGE-025,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-025_安全解压引擎.md
STAGE-026,D05-S003,压缩包 Manifest,v0.1,D05,自动解压与压缩包安全,IDS 系统运营入口,ACC-STAGE-026,是,除安全解压引擎外，可与 STAGE-018~023 的导入预检工作并行；至少在 STAGE-045 前完成。,4-12 小时,stages/STAGE-026_压缩包Manifest.md
STAGE-027,D05-S004,解压文件重新入库,v0.1,D05,自动解压与压缩包安全,IDS 系统运营入口,ACC-STAGE-027,是,除安全解压引擎外，可与 STAGE-018~023 的导入预检工作并行；至少在 STAGE-045 前完成。,4-12 小时,stages/STAGE-027_解压文件重新入库.md
STAGE-028,D05-S005,压缩包对抗测试,v0.1,D05,自动解压与压缩包安全,IDS 系统运营入口,ACC-STAGE-028,是,除安全解压引擎外，可与 STAGE-018~023 的导入预检工作并行；至少在 STAGE-045 前完成。,4-12 小时,stages/STAGE-028_压缩包对抗测试.md
STAGE-029,D05-S006,压缩包清理白名单,v0.1,D05,自动解压与压缩包安全,IDS 系统运营入口,ACC-STAGE-029,是,除安全解压引擎外，可与 STAGE-018~023 的导入预检工作并行；至少在 STAGE-045 前完成。,4-12 小时,stages/STAGE-029_压缩包清理白名单.md
STAGE-030,D06-S001,PostgreSQL 控制面启动,v0.1,D06,PostgreSQL 控制面,IDS 系统运营入口,ACC-STAGE-030,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-030_PostgreSQL控制面启动.md
STAGE-031,D06-S002,Schema 迁移安全,v0.1,D06,PostgreSQL 控制面,IDS 系统运营入口,ACC-STAGE-031,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-031_Schema迁移安全.md
STAGE-032,D06-S003,数据库连接与连接池基线,v0.1,D06,PostgreSQL 控制面,IDS 系统运营入口,ACC-STAGE-032,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-032_数据库连接与连接池基线.md
STAGE-033,D06-S004,数据库体积护栏,v0.1,D06,PostgreSQL 控制面,IDS 系统运营入口,ACC-STAGE-033,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-033_数据库体积护栏.md
