requirement_id,area,priority,requirement,acceptance_id,oracle_threshold,task_ids,test_id,evidence,artifact,owner
R-GOV-001,治理,P0,任何产品改动前，必须确定当前 main、生产制品、v1.5 recovery checkpoint 和历史任务包的关系，并逐项分类为采用、重做、废弃或冲突。,AC-GOV-001,所有将进入实现的差异均有唯一处置；未分类数=0；禁止 replay/force-push,T-S00-02,TEST-GOV-001,reconciliation.csv、commit graph、只读命令日志、签署的处置摘要,CI/Release Artifact + compact receipt,Tech Lead
R-GOV-002,治理,P0,任务包版本、产品/runtime 版本和部署制品身份必须分离记录，禁止以任务包 v1.5.2 推断产品版本。,AC-GOV-002,字段完整率=100%；同一部署身份唯一；歧义=0,T-S00-01;T-S00-03,TEST-GOV-002,PACKAGE_METADATA.json、部署 manifest、响应头快照,CI/Release Artifact + compact receipt,Release Owner
R-GOV-003,治理,P0,人类平面严格使用七个既有治理文件；机器平面仅保存最小权威事实、验收合同、任务图和发布策略。,AC-GOV-003,人类治理文件恰好 7 个；机器文件通过 schema/引用校验；无第八权威文档,T-S02-02,TEST-GOV-003,validator 输出、文件目录、渲染 diff,CI/Release Artifact + compact receipt,Product+Tech Lead
R-GOV-004,治理,P0,开发前穷尽普通依赖并预授权可逆决策；只有 Stop Condition 触发时暂停，且输出最小决策问题、证据、默认建议和不决策后果。,AC-GOV-004,普通依赖导致暂停=0；Stop 输出字段完整率=100%,T-S00-04,TEST-GOV-004,PREAUTHORIZED_INPUTS_CHECKLIST、暂停模拟记录,CI/Release Artifact + compact receipt,Delivery Lead
R-GOV-005,治理,P1,每个重大能力必须有收益/成本区间、敏感性、机会成本、置信度和明确 Kill Criteria，不承诺伪精确收益。,AC-GOV-005,重大能力覆盖率=100%；无伪精确单点收益；每项至少 1 个 Kill,T-S01-03,TEST-GOV-005,成本收益表、敏感性表、Gate 记录,CI/Release Artifact + compact receipt,Product Owner
R-PUB-001,公开入口,P0,匿名访问 `https://kmfa.linzezhang.com/` 必须直接进入完整软件主页，HTTP 200，最终 URL 为 `/`，不出现 Cloudflare Access 或任何登录页。,AC-PUB-001,HTTP 200；最终 URL 为 /；Access/登录重定向=0；首屏关键元素出现,T-S03-01,TEST-PUB-001,curl headers、Playwright trace、截图、部署制品摘要,CI/Release Artifact + compact receipt,Web/Edge
R-PUB-002,公开入口,P0,匿名用户可浏览、创建工作区、建项目、上传、处理、保存、恢复、搜索、下载和导出，无账号、邮箱或 OAuth 前置步骤。,AC-PUB-002,完整旅程通过；登录步骤=0；匿名权限错误=0,T-S01-02;T-S03-02,TEST-PUB-002,E2E trace、网络日志、状态快照、制品校验和,CI/Release Artifact + compact receipt,Product+Web
R-PUB-003,公开入口,P0,`/ui` 与 `/ui/` 必须 308 重定向到 `/`，根路径不得再跳向 `/ui/`，canonical、sitemap 和分享链接统一指向根路径。,AC-PUB-003,/ui 与 /ui/ 均单跳 308→/；/ 为 200；循环=0；canonical 仅根路径,T-S03-01,TEST-PUB-003,redirect trace、HTML meta、sitemap diff,CI/Release Artifact + compact receipt,Web/Edge
R-PUB-004,公开入口,P0,根主页必须加载导航、项目入口、上传区、搜索、进度、报告和帮助等完整 App Shell，并在无 JavaScript 或关键依赖降级时给出可理解状态。,AC-PUB-004,正常组关键入口 100% 可操作；降级组有明确状态且无空白页/数据损坏,T-S03-02,TEST-PUB-004,Playwright trace、DOM 快照、截图,CI/Release Artifact + compact receipt,Frontend
R-PUB-005,公开入口,P1,主页和公开发布页满足 WCAG 2.2 AA 关键标准、主流移动端可用，并且仅批准公开内容进入 sitemap/robots 索引。,AC-PUB-005,严重/关键 a11y=0；核心键盘流通过；未公开 URL 索引命中=0,T-S03-03,TEST-PUB-005,a11y 报告、视觉截图、robots/sitemap、索引查询结果,CI/Release Artifact + compact receipt,Frontend+Privacy
