parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated,source_selector,extracted_value,last_verified_commit,verified_at,evidence_hash,semantic_status,semantic_review_task_ids
PARAM-001,MOD-001,FORM-009,BASE_MONTHLY,base monthly salary,salary_constant,float,yuan label,6000,NOT_APPLICABLE - no separate prior evidenced,6000,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-009,EXTRACTED from code constant,UNKNOWN (TASK-WHKM-B-001: policy/source calibration not evidenced),High,whkmSalary/salary_logic.py:12,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,active,UNKNOWN,TASK-WHKM-B-001,salary-logic-v0,2026-06-20,python_ast_assignment:whkmSalary/salary_logic.py::BASE_MONTHLY,6000,5712cb6666d2abf5c9426d4ad282899774090a85,2026-06-21T12:45:05Z,sha256:3f8a55d53c7263f40bbe65971a6e1170fa88996997e0d8fc6be439406ea997dd,MACHINE_VERIFIED,
PARAM-002,MOD-001,FORM-009,PERF_QUARTER_POOL,quarter performance pool,salary_constant,float,yuan label,36000,NOT_APPLICABLE - no separate prior evidenced,36000,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-009,EXTRACTED from code constant,UNKNOWN (TASK-WHKM-B-001: policy/source calibration not evidenced),High,whkmSalary/salary_logic.py:13,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,active,UNKNOWN,TASK-WHKM-B-001,salary-logic-v0,2026-06-20,python_ast_assignment:whkmSalary/salary_logic.py::PERF_QUARTER_POOL,36000,5712cb6666d2abf5c9426d4ad282899774090a85,2026-06-21T12:45:05Z,sha256:05bd4c81670373cd8f987990aca1d4fb106d7e9d3b1fc58ba503b9bc54df9cb4,MACHINE_VERIFIED,
PARAM-003,MOD-001,FORM-009,tax_keep_rate,after-tax retention rate,tax_parameter,float,ratio,0.97,NOT_APPLICABLE - no separate prior evidenced,0.97,NOT_APPLICABLE,,,,0,1,FORM-009,EXTRACTED from code constant,UNKNOWN (TASK-WHKM-B-001: policy/source calibration not evidenced),Critical,whkmSalary/salary_logic.py:145,whkmSalary/streamlit_app.py:53,FOCUSED: salary_logic.calculate fixture,active,UNKNOWN,TASK-WHKM-B-001,salary-logic-v0,2026-06-20,python_ast_default:whkmSalary/salary_logic.py::calculate.tax_keep_rate,0.97,5712cb6666d2abf5c9426d4ad282899774090a85,2026-06-21T12:45:05Z,sha256:eb04e7c983cc32e7903d42b20626991ee0d73e692f708a9186a101af291b53dd,MACHINE_VERIFIED,
PARAM-004,MOD-001,FORM-009,year_target_positive,year target positive constraint,input_constraint,boolean,rule,true,NOT_APPLICABLE - no separate prior evidenced,true,NOT_APPLICABLE,,,,>0,NOT_APPLICABLE,FORM-009,EXTRACTED from code constant,NOT_APPLICABLE - code constant or UI default,High,whkmSalary/salary_logic.py:147,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,active,EXTRACTED,GOV-SEMANTIC-WHKM-001;TASK-WHKM-B-001,salary-logic-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-WHKM-001
PARAM-005,MOD-001,FORM-009,quarter_actual_positive,quarter actual positive constraint,input_constraint,boolean,rule,true,NOT_APPLICABLE - no separate prior evidenced,true,NOT_APPLICABLE,,,,>0,NOT_APPLICABLE,FORM-009,EXTRACTED from code constant,NOT_APPLICABLE - code constant or UI default,High,whkmSalary/salary_logic.py:149,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,active,EXTRACTED,GOV-SEMANTIC-WHKM-001;TASK-WHKM-B-001,salary-logic-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-WHKM-001
PARAM-006,MOD-001,FORM-002,performance_t1,performance lower breakpoint,formula_constant,float,score/rate/day constant,0.6,NOT_APPLICABLE - no separate prior evidenced,0.6,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code constant,UNKNOWN (TASK-WHKM-B-001: policy/source calibration not evidenced),Medium,whkmSalary/salary_logic.py:53,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,active,UNKNOWN,TASK-WHKM-B-001,salary-logic-v0,2026-06-20,python_ast_literal:whkmSalary/salary_logic.py:53:1,0.6,5712cb6666d2abf5c9426d4ad282899774090a85,2026-06-21T12:45:05Z,sha256:ec688c8bbd090c436cf6e1db0589777a383cbc28c927c579cd192e992754dd1f,MACHINE_VERIFIED,
PARAM-007,MOD-001,FORM-002,performance_t2,performance middle breakpoint,formula_constant,float,score/rate/day constant,0.8,NOT_APPLICABLE - no separate prior evidenced,0.8,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code constant,UNKNOWN (TASK-WHKM-B-001: policy/source calibration not evidenced),Medium,whkmSalary/salary_logic.py:55,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,active,UNKNOWN,TASK-WHKM-B-001,salary-logic-v0,2026-06-20,python_ast_literal:whkmSalary/salary_logic.py:55:2,0.8,5712cb6666d2abf5c9426d4ad282899774090a85,2026-06-21T12:45:05Z,sha256:55bc826dcf36463adde28a8e3fbbbfa3c07c0826b27b2341a5eabb36c620a173,MACHINE_VERIFIED,
PARAM-008,MOD-001,FORM-002,performance_t3,performance upper breakpoint,formula_constant,float,score/rate/day constant,1.5,NOT_APPLICABLE - no separate prior evidenced,1.5,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code constant,UNKNOWN (TASK-WHKM-B-001: policy/source calibration not evidenced),Medium,whkmSalary/salary_logic.py:57,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,active,UNKNOWN,TASK-WHKM-B-001,salary-logic-v0,2026-06-20,python_ast_literal:whkmSalary/salary_logic.py:57:2,1.5,5712cb6666d2abf5c9426d4ad282899774090a85,2026-06-21T12:45:05Z,sha256:38114dade4775a8da9539173b33e8c71527826e7d928ee98aa88e677ce5a377e,MACHINE_VERIFIED,
PARAM-009,MOD-001,FORM-002,performance_low_slope,performance low slope,formula_constant,float,score/rate/day constant,300,NOT_APPLICABLE - no separate prior evidenced,300,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code constant,UNKNOWN (TASK-WHKM-B-001: policy/source calibration not evidenced),Medium,whkmSalary/salary_logic.py:54,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,active,UNKNOWN,TASK-WHKM-B-001,salary-logic-v0,2026-06-20,python_ast_literal:whkmSalary/salary_logic.py:54:3,300,5712cb6666d2abf5c9426d4ad282899774090a85,2026-06-21T12:45:05Z,sha256:1d9829b7ba63469628c4caf18cc94bfc484b39e1bf4d262f6ad0b2e4b07c954b,MACHINE_VERIFIED,
PARAM-010,MOD-001,FORM-002,performance_mid_base,performance mid base score,formula_constant,float,score/rate/day constant,20,NOT_APPLICABLE - no separate prior evidenced,20,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-002,EXTRACTED from code constant,UNKNOWN (TASK-WHKM-B-001: policy/source calibration not evidenced),Medium,whkmSalary/salary_logic.py:56,NOT_APPLICABLE,FOCUSED: salary_logic.calculate fixture,active,UNKNOWN,TASK-WHKM-B-001,salary-logic-v0,2026-06-20,python_ast_literal:whkmSalary/salary_logic.py:56:1,20,5712cb6666d2abf5c9426d4ad282899774090a85,2026-06-21T12:45:05Z,sha256:e3cb1b4030a1847e78c77ccea4cacdd2f5759b9c5a09d22ab27de2cc87f988df,MACHINE_VERIFIED,
