项目,文件名,日期,时长秒,分辨率,功能位,画质等级,描述,画面元素,镜头特征,工序阶段,脱敏风险,置信度
化工群,化工_回转窑检修_260806_01.mp4,260806,5.3,544x960,过程证据,仅可内嵌,回转窑检修,火花、刀具、筒体、轮带,中景、固定机位,加工,无,高
化工群,lQbPJwysA_jqRcMAALBvZRrm07-iFgpHCIw5o4sA.mp4,260806,8.6,544x960,不可用,仅可内嵌,,无,,无法判断,无,待确认
化工群,lQbPKH5A7jITUy8AALCJsCw33UbE_gosAE2GskIA.mp4,260716,10.2,720x1280,不可用,可全屏,,无,,无法判断,无,
化工群,化工_工业车削作业_260712_01.mp4,260712,7.5,544x960,过程证据,仅可内嵌,工业车削作业,刀具、切屑、轮带、筒体、加工纹面、磨损面,大特写、固定机位,加工,无,高
化工群,化工_回转窑维修_260817_01.mp4,260817,7.0,544x960,过程证据,仅可内嵌,回转窑维修,刀具、轮带、切屑、加工纹面、磨损面,固定机位、大特写,加工,无,高
化工群,化工_钢铁行业维护_260806_01.mp4,260806,15.5,544x960,关键细节,仅可内嵌,钢铁行业维护,筒体、轮带,固定机位、大特写,加工,无,高
化工群,化工_工人切割钢板_260814_01.mp4,260814,8.4,720x1280,过程证据,可全屏,工人切割钢板,火花、人员、刀具,固定机位,加工,无,高
化工群,lQbPJx8-2oeE728AALB9Qx9R8dPahwpTtIWD-XkA.mp4,260816,14.1,544x960,不可用,仅可内嵌,,无,,无法判断,无,
化工群,化工_工业维修现场_260817_01.mp4,260817,3.9,544x960,过程证据,仅可内嵌,工业维修现场,量具、人员、轮带、筒体,中景、固定机位,加工,人脸,高
化工群,化工_现场检修作业_260712_01.mp4,260712,12.7,544x960,不可用,仅可内嵌,现场检修作业,刀具、切屑、加工纹面、磨损面、筒体,大特写、手持抖动,加工,无,高
化工群,化工_工人在检修_260809_01.mp4,260809,9.7,544x960,过程证据,仅可内嵌,工人在检修,人员、轮带、托轮、筒体,中景、固定机位,加工,人脸,高
化工群,化工_回转窑检修_260725_01.mp4,260725,7.4,720x1280,过程证据,可全屏,回转窑检修,筒体,固定机位、中景,加工,无,高
化工群,lQbPJxYciv5TY7MAALDxP1IGIgjiugokVaOfMkAA.mp4,260710,13.5,720x1280,不可用,可全屏,,无,,无法判断,无,
化工群,lQbPJx-Jbs55isMAALABRTTncnli6gpHCJF2S5MA.mp4,260806,8.0,544x960,不可用,仅可内嵌,,无,,无法判断,无,待确认
化工群,lQbPJxD2r3JwVz8AALAvhzuWj1Ju4gpNic8UGQcA.mp4,260811,4.6,720x1280,不可用,可全屏,,无,,无法判断,无,待确认
化工群,化工_回转窑磨削_260806_01.mp4,260806,8.0,544x960,过程证据,仅可内嵌,回转窑磨削,刀具、量具、筒体、加工纹面,中景、固定机位,加工,无,高
化工群,化工_维修工业现场_260811_01.mp4,260811,12.9,544x960,过程证据,仅可内嵌,维修工业现场,人员、筒体、文字牌,中景、手持抖动,加工,客户名称,高
化工群,化工_工人操作锤子_260812_01.mp4,260812,16.8,544x960,过程证据,仅可内嵌,工人操作锤子,人员、筒体,中景、手持抖动,加工,人脸,高
化工群,化工_工业现场演示_260730_01.mp4,260730,17.5,1280x720,过程证据,可全屏,工业现场演示,火花、刀具、人员、筒体、切屑,中景、固定机位,加工,人脸,高
安装检修群,安装检修_托轮接触面_260422_02.mp4,260422,11.5,544x960,不可用,,托轮接触面,无,,无法判断,无,高
安装检修群,安装检修_轮带在线车削_260520_01.mp4,260520,30.5,544x960,过程证据,,轮带在线车削,筒体,,无法判断,客户名称,高
安装检修群,安装检修_轮带旋转检视_260420_01.mp4,260420,12.2,544x960,环境铺垫,,轮带旋转检视,厂区,,无法判断,客户名称、人脸,高
安装检修群,安装检修_轮带车削_260518_02.mp4,260518,15.2,544x960,不可用,,轮带车削,无,,无法判断,无,高
安装检修群,安装检修_轮带车削亮面_260517_01.mp4,260517,22.8,544x960,不可用,,轮带车削亮面,无,,无法判断,无,高
安装检修群,安装检修_切削火花特写_260528_04.mp4,260528,11.5,544x960,不可用,,切削火花特写,无,,无法判断,无,高
安装检修群,安装检修_回转窑轮带_260501_01.mp4,260501,17.9,720x1280,过程证据,可全屏,回转窑轮带,轮带、托轮、筒体、加工纹面,,加工,无,高
安装检修群,安装检修_轮带表面纹路_260420_02.mp4,260420,13.1,544x960,环境铺垫,,轮带表面纹路,厂区,,无法判断,客户名称、人脸,高
安装检修群,安装检修_开工班前会_260608_01.mp4,260608,13.8,960x544,过程证据,,开工班前会,筒体,,无法判断,无,高
安装检修群,安装检修_人员吊装作业_260508_01.mp4,260508,7.4,720x1280,不可用,,人员吊装作业,无,,无法判断,无,高
安装检修群,安装检修_轮带挡块检视_260419_01.mp4,260419,28.5,720x1280,过程证据,可全屏,轮带挡块检视,量具、筒体、加工纹面,中景、手持抖动,复检,无,高
安装检修群,安装检修_车后光面_260528_03.mp4,260528,10.4,544x960,不可用,,车后光面,无,,无法判断,无,高
安装检修群,安装检修_百分表复检_260530_02.mp4,260530,46.1,960x544,关键细节,,百分表复检,轮带、磨损面,,加工,无,高
安装检修群,安装检修_车削机上机_260517_02.mp4,260517,26.7,544x960,不可用,,车削机上机,无,,无法判断,无,高
安装检修群,安装检修_车削带屑加工_260517_03.mp4,260517,29.8,544x960,不可用,,车削带屑加工,无,,无法判断,无,高
安装检修群,安装检修_轮带磨损面_260418_01.mp4,260418,8.5,544x960,环境铺垫,仅可内嵌,轮带磨损面,无,中景、固定机位,无法判断,无,高
安装检修群,安装检修_跳动读数记录_260530_03.mp4,260530,44.2,544x960,关键细节,,跳动读数记录,轮带、磨损面,,加工,无,高
安装检修群,安装检修_车削装置架设_260528_01.mp4,260528,13.4,544x960,不可用,,车削装置架设,无,,无法判断,无,高
安装检修群,安装检修_轮带整周纹面_260422_01.mp4,260422,11.2,544x960,不可用,,轮带整周纹面,无,,无法判断,无,高
安装检修群,安装检修_轮带侧面全貌_260419_02.mp4,260419,12.5,544x960,不可用,,轮带侧面全貌,无,,无法判断,无,高
安装检修群,安装检修_气瓶存放区_260324_01.mp4,260324,41.7,544x960,环境铺垫,仅可内嵌,气瓶存放区,人员、吊装、厂区、轮带、筒体,中景、手持抖动,无法判断,无,高
安装检修群,安装检修_轮带终检特写_260519_01.mp4,260519,13.5,544x960,不可用,,轮带终检特写,无,,无法判断,无,高
安装检修群,安装检修_直尺量隙_260303_01.mp4,260303,16.2,544x960,不可用,,直尺量隙,无,,无法判断,无,高
安装检修群,安装检修_厂门显示屏_260422_03.mp4,260422,6.0,544x960,不可用,,厂门显示屏,无,,无法判断,无,高
安装检修群,安装检修_人员进场行进_260514_01.mp4,260514,14.9,544x960,过程证据,仅可内嵌,人员进场行进,人员、齿轮,中景、手持抖动,加工,无,高
安装检修群,安装检修_轮带原始状态_260418_02.mp4,260418,11.6,544x960,关键细节,,轮带原始状态,轮带、磨损面,,加工,人脸,高
安装检修群,安装检修_百分表测跳动_260530_01.mp4,260530,26.0,544x960,关键细节,,百分表测跳动,轮带、磨损面,,加工,无,高
安装检修群,安装检修_轮带成品面_260518_01.mp4,260518,27.6,544x960,不可用,,轮带成品面,无,,无法判断,无,高
安装检修群,安装检修_轮带车削特写_260528_02.mp4,260528,7.2,544x960,不可用,,轮带车削特写,无,,无法判断,无,高
焊接群,lQbPKdyfTFpBTdEAALA_bg-ylfeDMQnPH-KlWI4A.mp4,260505,29.2,720x1280,不可用,可全屏,,无,,无法判断,无,待确认
焊接群,焊接_工人在维修_260505_01.mp4,260505,6.9,720x1280,过程证据,可全屏,工人在维修,人员、筒体、磨损面,中景、手持抖动,加工,人脸,高
焊接群,焊接_工人焊接操作_260505_01.mp4,260505,20.4,720x1280,过程证据,可全屏,工人焊接操作,火花、人员、筒体、焊接,逆光、手持抖动,焊接,人脸,高
焊接群,焊接_司机驾驶车辆_260506_01.mp4,260506,8.8,720x1280,环境铺垫,可全屏,司机驾驶车辆,人员,中景、手持抖动,无法判断,人脸,高
焊接群,焊接_回转窑车磨削_260809_01.mp4,260809,18.6,720x1280,关键细节,可全屏,回转窑车磨削,筒体、刀具、加工纹面、磨损面,中景、固定机位,加工,无,高
焊接群,焊接_回转窑车磨_260809_01.mp4,260809,18.4,720x1280,关键细节,可全屏,回转窑车磨,刀具、量具、轮带、筒体、加工纹面、磨损面,固定机位,加工,无,高
焊接群,lQbPJw3xnW5L0DEAALBtdsGzl3gIRgnPAK4PEjYA.mp4,260505,8.7,720x1280,不可用,可全屏,,无,,无法判断,无,
焊接群,lQbPKHo0G10sI-8AALAOUrcJ6fGSsApK7qUk-gcA.mp4,260809,18.7,720x1280,不可用,可全屏,,无,,无法判断,无,
焊接群,焊接_现场操作画面_260809_01.mp4,260809,8.5,720x1280,过程证据,可全屏,现场操作画面,刀具、量具、轮带、筒体,中景、固定机位,加工,无,高
焊接群,焊接_回转窑检修_260505_02.mp4,260505,23.0,720x1280,过程证据,可全屏,回转窑检修,火花、人员、焊接、筒体,中景、手持抖动,焊接,无,高
焊接群,lQbPKGc7Z8C1ys8AALBBGKponmS6TQpNYQ9FQ6YA.mp4,260811,14.5,720x1280,不可用,可全屏,,无,,无法判断,无,
焊接群,焊接_回转窑加工_260809_01.mp4,260809,10.3,720x1280,过程证据,可全屏,回转窑加工,刀具、量具、轮带、筒体、切屑、加工纹面,中景、固定机位,加工,无,高
化工群,化工_工地挖掘施工_260817_01.mp4,260817,30.2,544x960,环境铺垫,仅可内嵌,工地挖掘施工,无,中景,无法判断,车牌,高
化工群,化工_建筑工地现场_260816_01.mp4,260816,20.2,720x1280,不可用,可全屏,建筑工地现场,无,全景,无法判断,无,高
