来源系统,业务板块,文件包/数据包,公司主体,银行/系统账户,账户/报表,建议频率,当前状态,状态颜色,影响报告,阻塞/降级规则,责任角色,文件命名建议,metadata路径,下一步
红圈,经营数据,项目主数据,全部主体,导出账号,项目列表/客户/负责人,每周,已就绪,绿色,经营总览/项目组合,可正常生成项目组合分析,经营负责人,redcircle_projects_YYYYMMDD.csv,metadata/sources/redcircle/project_master.jsonl,保持周更
红圈,合同数据,合同与付款节点,全部主体,导出账号,合同金额/税率/质保金/付款节点,每周,部分/阻塞,黄色,现金预测/口径差异摘要,缺付款节点时现金预测降级,经营负责人,redcircle_contracts_YYYYMMDD.csv,metadata/sources/redcircle/contracts.jsonl,补合同节点字段
红圈,回款数据,项目回款计划,全部主体,导出账号,计划回款/实际回款/责任人,每周,已过期,黑色,现金安全/应收账期,过期时阻塞周度回款结论,财务负责人,redcircle_collection_plan_YYYYMMDD.csv,metadata/sources/redcircle/collection_plan.jsonl,重新导出本周数据
红圈,财务数据,项目收入支出,全部主体,导出账号,人材机/外协/现场费用,每周,人工复核,紫色,项目真实毛利,需与金蝶/WPS核对后生成确定结论,财务负责人,redcircle_project_costs_YYYYMMDD.csv,metadata/sources/redcircle/project_costs.jsonl,建立项目编码映射
金蝶,总账,科目余额表,主体A/主体B,财务账号,本期余额/发生额,每月,已就绪,绿色,财务资金/税务政策,可作为唯一账本基础数据,财务负责人,kingdee_trial_balance_YYYYMM.xlsx,metadata/sources/kingdee/trial_balance.jsonl,月结后更新
金蝶,凭证,凭证明细,主体A/主体B,财务账号,摘要/科目/辅助核算,每月,部分/阻塞,黄色,成本归集/口径差异摘要,缺辅助核算时项目利润降级,财务负责人,kingdee_vouchers_YYYYMM.xlsx,metadata/sources/kingdee/vouchers.jsonl,补辅助核算字段
金蝶,往来,应收应付明细,主体A/主体B,财务账号,客户/供应商/账龄/到期日,每周,已就绪,绿色,回款/付款优先级,可正常生成账龄分析,财务负责人,kingdee_ar_ap_YYYYMMDD.xlsx,metadata/sources/kingdee/ar_ap.jsonl,保持周更
金蝶,报表,利润表/现金流量表,主体A/主体B,财务账号,法定报表导出,每月,人工复核,紫色,月度经营分析报告,月结确认前只生成预览,财务负责人,kingdee_financial_statements_YYYYMM.xlsx,metadata/sources/kingdee/statements.jsonl,月结确认
WPS,客户资料,客户信息表,全部主体,共享目录,客户等级/账期/联系人,每月,已就绪,绿色,客户质量/回款策略,可用于客户分类,经营负责人,wps_customer_master_YYYYMMDD.xlsx,metadata/sources/wps/customers.jsonl,规范字段
WPS,应收账龄,账期与催收表,全部主体,共享目录,账龄/争议/负责人,每周,部分/阻塞,黄色,现金安全/应收分析,缺项目编码时无法关联项目利润,财务负责人,wps_ar_aging_YYYYMMDD.xlsx,metadata/sources/wps/ar_aging.jsonl,补项目编码
WPS,发票,发票台账,全部主体,共享目录,销项/进项/税率/发票状态,每周,人工复核,紫色,税务政策/回款核销,需与数电票核对后使用,税务政策负责人,wps_invoice_ledger_YYYYMMDD.xlsx,metadata/sources/wps/invoice_ledger.jsonl,与数电票核对
WPS,报价,报价与投标表,全部主体,共享目录,报价成本/毛利/结果,按需,已过期,黑色,项目利润/订单质量,过期时不生成报价转化趋势,经营负责人,wps_quotation_bid_YYYYMMDD.xlsx,metadata/sources/wps/quotation_bid.jsonl,更新本期报价
银行流水,主体A,交易流水,主体A,工商银行,基本户,每周,已就绪,绿色,现金/回款核销,可用于现金安全和回款核销,财务负责人,bank_icbc_main_YYYYMMDD.csv,metadata/sources/bank/entity_a_icbc_main.jsonl,保持周更
银行流水,主体A,交易流水,主体A,建设银行,一般户1,每周,失败/不适用,红色,现金/付款分析,该账户缺失时主体A现金报告降级,财务负责人,bank_ccb_general1_YYYYMMDD.csv,metadata/sources/bank/entity_a_ccb_general1.jsonl,补授权或导出文件
银行流水,主体B,交易流水,主体B,农业银行,一般户1,每周,已过期,黑色,现金安全,过期时不能支撑本周现金结论,财务负责人,bank_abc_general1_YYYYMMDD.csv,metadata/sources/bank/entity_b_abc_general1.jsonl,重新导出
银行流水,主体B,余额表,主体B,招商银行,一般户2,每日/每周,部分/阻塞,黄色,现金预测,缺期末余额则现金预测降级,财务负责人,bank_cmb_balance_YYYYMMDD.csv,metadata/sources/bank/entity_b_cmb_general2_balance.jsonl,补期末余额
银行流水,全部主体,回单,全部主体,多银行,重点收付款回单,按需,人工复核,紫色,回款核销/合同争议,需人工确认与项目关系,财务负责人,bank_receipts_YYYYMMDD.zip,metadata/sources/bank/receipts.jsonl,按项目归档
税务/数电票,销项,销项发票明细,全部主体,税务账号,发票号码/税率/客户/金额,每月,已就绪,绿色,税务政策/收入确认,可用于税率匹配,税务政策负责人,tax_output_invoice_YYYYMM.xlsx,metadata/sources/tax/output_invoices.jsonl,月结后核对
税务/数电票,进项,进项发票明细,全部主体,税务账号,供应商/税率/抵扣/认证状态,每月,部分/阻塞,黄色,项目税负/成本归集,缺项目归属时税负分析降级,税务政策负责人,tax_input_invoice_YYYYMM.xlsx,metadata/sources/tax/input_invoices.jsonl,补项目归属
税务/数电票,政策,政策证据材料,全部主体,资料目录,研发/科技人员/IP/成果,季度,人工复核,紫色,高新/科小/加计扣除,缺证据时只输出缺口清单,税务政策负责人,policy_evidence_YYYYQX.zip,metadata/sources/tax/policy_evidence.jsonl,建立证据索引
合同与协议,合同,主合同与补充协议,全部主体,合同目录,合同正文/附件/补充协议,按项目,部分/阻塞,黄色,项目利润/现金预测/税务政策,缺付款节点或税率时相关结论降级,经营负责人,contracts_projectcode_YYYYMMDD.zip,metadata/sources/contracts/contract_files.jsonl,建立合同字段抽取
合同与协议,签证变更,签证/变更/结算确认,全部主体,合同目录,签证金额/状态/甲方确认,按项目,人工复核,紫色,项目真实毛利,未确认签证不得进入确定性利润,项目负责人,change_orders_projectcode_YYYYMMDD.xlsx,metadata/sources/contracts/change_orders.jsonl,补甲方确认状态
