数据包,文件路径,文件类型,大小KB,工作表数量,工作表摘要,KMFA用途判断,MVP状态,阻塞/下一步,指纹/CRC
销售绩效考核,销售绩效考核/山东圣川.pdf,PDF,134.8,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-69415e24
销售绩效考核,销售绩效考核/新疆宜化064.pdf,PDF,77.2,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-ef9409a4
销售绩效考核,销售绩效考核/余永昕/贵州凯里瑞安 004.pdf,PDF,73.3,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-839e54b9
销售绩效考核,销售绩效考核/余永昕/福建鼎信 002.pdf,PDF,72.9,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-2d1f3668
销售绩效考核,销售绩效考核/余永昕/广安台泥 079.pdf,PDF,74.1,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-6dd0e3eb
销售绩效考核,销售绩效考核/余永昕/福建鼎信003.pdf,PDF,73.7,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-aa6d8980
销售绩效考核,销售绩效考核/余永昕/竣工项目财务报表  池州恒鑫 085.pdf,PDF,60.0,0,,MVP核心：项目成本、项目状态、项目利润核对,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-e0d46f75
销售绩效考核,销售绩效考核/余永昕/余永昕26.01-03.xlsx,Excel OOXML,848.7,3,总览; 明细表; 项目成本,MVP核心：项目成本、项目状态、项目利润核对,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,221ecc0513424c33
销售绩效考核,销售绩效考核/余永昕/竣工项目财务报表  崇阳昌华 084 .pdf,PDF,58.2,0,,MVP核心：项目成本、项目状态、项目利润核对,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-347b0972
财务,财务/外协费用支付明细.xls,Excel/WPS OLE,167.0,0,,MVP支撑：成本费用、采购领料、库存、外协,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-86526f6b
财务,财务/面试问题.doc,Word/文档,17.0,0,,待归类：进入数据源检查板人工复核队列,部分/阻塞,需人工确认是否纳入流程/岗位/制度资料,crc-154ad4b7
