record_id,subject,scope_predicate,item_count,decision,target_authority,default_action,owner,evidence_ref
SUBJ-MAIN,current main,KMOS main at 68306e850fa66ffe6b53622915ca81ff8ba98bf8,1,Adopt,current KMOS main,Use as the only writable source baseline,Tech Lead,SOURCE_IDENTITY.md
SUBJ-PRODUCTION,current production,Coolify deployment boh5fsnxe82umwcpqzooam1p from source 68306e850fa66ffe6b53622915ca81ff8ba98bf8,1,Adopt,current production subject,Keep as comparison subject; no production mutation in S00 P0.2,Release Owner,SOURCE_IDENTITY.md
ASSET-RECOVERY,v1.5 recovery asset,immutable bundle anchor 1ee7fb111 plus public recovery tip 268acce792,1,Adopt,read-only recovery evidence,Preserve bundle/ref and never replay or force-push,Recovery Lead,bundle sha256 2d0b516fe7d578061e97dfca874745bcf3a0bf504b0f80976ad3aa21e01077ed
REC-CURRENT-AUTHORITY,v1.5 full-sweep path set,path exists in current main,223,Adopt,current main blob,Keep current version; recovery variant is superseded reference,Recovery Lead,path decision inventory sha256 a16490a15c5cebdc97d3105e9bfc35d079305a811477f7f66748fa1d11e4470d
REC-RELOCATED-SKILL,v1.5 full-sweep path set,legacy skill path has verified canonical target under KMFA skills,16,Adopt,current canonical skill path,Keep migrated and subsequently maintained package; do not restore legacy path,Recovery Lead,path decision inventory sha256 a16490a15c5cebdc97d3105e9bfc35d079305a811477f7f66748fa1d11e4470d
REC-LEGACY-CODE,v1.5 full-sweep path set,absent-current v015 tools or tests,750,Redo,v1.5.2 Task DAG and Acceptance Contract,Implement only behavior required by the active task; old path is reference and must not be bulk recreated,Task DAG owner,path decision inventory sha256 a16490a15c5cebdc97d3105e9bfc35d079305a811477f7f66748fa1d11e4470d
REC-LEGACY-EVIDENCE,v1.5 full-sweep path set,absent-current v015 config metadata or stage evidence,67,Discard,read-only recovery/history,Do not import obsolete 24-stage evidence or parallel facts,Recovery Lead,path decision inventory sha256 a16490a15c5cebdc97d3105e9bfc35d079305a811477f7f66748fa1d11e4470d
REC-STALE-NONCANONICAL,v1.5 full-sweep path set,absent-current standalone design or run-status authority,4,Discard,v1.5.2 canonical facts and compact evidence,Do not create a parallel product or evidence authority,Recovery Lead,path decision inventory sha256 a16490a15c5cebdc97d3105e9bfc35d079305a811477f7f66748fa1d11e4470d
REC-MISSING-FINAL,lost v1.5 final commit,13921decb26ac72445f1b4bc22551d164eedcb1b absent from both public repositories,1,Discard,current main plus v1.5.2 Task DAG,Do not guess or reconstruct its identity; redo required behavior through current ACs,Recovery Lead,GitHub commit-object lookup absent 2026-07-22
HIST-ACCEPTANCE,2026-07-22 acceptance reference,post-deploy FAIL and Access/write/export/governance findings,1,Adopt,v1.5.2 failure baseline,Retain immutable old evidence and reverify through current ACs,Product+Tech Lead,evidence root 6a35a7271cc5f022d2000ba1341ec5b7e9c41aea35ebb9fe8f49b9199bc4d1ec
HIST-V142-CAPABILITY,v1.4.2 reference,real software and reusable capability semantics,1,Adopt,current implementation plus v1.5.2 ACs,Use selectively as read-only design/test reference; never as current authority,Product+Tech Lead,reference zip sha256 e822c98bfe21445b4ddf7110ecf81d14c8fa8bd5f2cdeb00fab4a21e72df39f8
HIST-V142-CONTRACT,v1.4.2 reference,root public-boundary login write export permanence and evidence themes,7,Redo,v1.5.2 product contract,Implement the newer anonymous-private-workspace and durable-storage contracts,Product+Tech Lead,HISTORY_INHERITANCE_AND_CONFLICTS.md
HIST-V142-ORCHESTRATION,v1.4.2 reference,24-stage 72-phase 216-task orchestration,1,Discard,v1.5.2 14-stage 56-task graph,Do not recreate duplicate historical task machinery,Product+Tech Lead,HISTORY_INHERITANCE_AND_CONFLICTS.md
HIST-V141,v1.4.1 archive,large raw-or-private-risk historical archive,1,Discard,index only,Do not expand copy or use as authority,Recovery Lead,archive sha256 2d5fa2a64ae72d5a5a8810e13444529b10eca358e368bac57611283827608356
HIST-PREV0,pre-v0.1 packages,concept-only historical material,1,Discard,index only,Do not import as current product or governance authority,Product+Tech Lead,HISTORICAL_PACKAGE_INDEX.csv
S24-EXCLUDED,unfinished S24,five v015 S24 paths listed by the full-sweep exclusion set,5,Discard,outside S01-S23 recovery and v1.5.2 baseline,Keep absent from recovery tip current main and local phase diff,Recovery Lead,S24 path-set sha256 9606d85a7cc794b6540b5ecfdfeec1e0d1a6b9a7ffb1ad3c7e2bf0b7e1b8717e
